Time,Variety,Price,GoldNo
2026-02-13 01:49:17,Ag(T+D),18785.0,AGTD
2026-02-13 01:49:17,Au(T+D),1110.0,AUTD
2026-02-13 01:49:17,Au(T+N1),0.0,AUTN1
2026-02-13 01:49:17,Au(T+N2),0.0,AUTN2
2026-02-13 01:49:17,Au100g,1103.0,AU100G
2026-02-13 01:49:17,Au99.95,0.0,AU9995
2026-02-13 01:49:17,Au99.99,1112.0,AU9999
2026-02-13 01:49:17,Pt99.95,519.5,PT9995
2026-02-13 01:49:53,Ag(T+D),18785.0,AGTD
2026-02-13 01:49:53,Au(T+D),1110.2,AUTD
2026-02-13 01:49:53,Au(T+N1),0.0,AUTN1
2026-02-13 01:49:53,Au(T+N2),0.0,AUTN2
2026-02-13 01:49:53,Au100g,1103.0,AU100G
2026-02-13 01:49:53,Au99.95,0.0,AU9995
2026-02-13 01:49:53,Au99.99,1110.1,AU9999
2026-02-13 01:49:53,Pt99.95,519.5,PT9995
2026-02-13 01:50:25,Ag(T+D),18812.0,AGTD
2026-02-13 01:50:25,Au(T+D),1110.14,AUTD
2026-02-13 01:50:25,Au(T+N1),0.0,AUTN1
2026-02-13 01:50:25,Au(T+N2),0.0,AUTN2
2026-02-13 01:50:25,Au100g,1103.0,AU100G
2026-02-13 01:50:25,Au99.95,0.0,AU9995
2026-02-13 01:50:25,Au99.99,1111.26,AU9999
2026-02-13 01:50:25,Pt99.95,519.5,PT9995
2026-02-13 01:50:26,Ag(T+D),18812.0,AGTD
2026-02-13 01:50:26,Au(T+D),1110.14,AUTD
2026-02-13 01:50:26,Au(T+N1),0.0,AUTN1
2026-02-13 01:50:26,Au(T+N2),0.0,AUTN2
2026-02-13 01:50:26,Au100g,1103.0,AU100G
2026-02-13 01:50:26,Au99.95,0.0,AU9995
2026-02-13 01:50:26,Au99.99,1111.26,AU9999
2026-02-13 01:50:26,Pt99.95,519.5,PT9995
2026-02-13 01:50:29,Ag(T+D),18812.0,AGTD
2026-02-13 01:50:29,Au(T+D),1110.14,AUTD
2026-02-13 01:50:29,Au(T+N1),0.0,AUTN1
2026-02-13 01:50:29,Au(T+N2),0.0,AUTN2
2026-02-13 01:50:29,Au100g,1103.0,AU100G
2026-02-13 01:50:29,Au99.95,0.0,AU9995
2026-02-13 01:50:29,Au99.99,1111.26,AU9999
2026-02-13 01:50:29,Pt99.95,519.5,PT9995
2026-02-13 01:50:43,Ag(T+D),18777.0,AGTD
2026-02-13 01:50:43,Au(T+D),1110.0,AUTD
2026-02-13 01:50:43,Au(T+N1),0.0,AUTN1
2026-02-13 01:50:43,Au(T+N2),0.0,AUTN2
2026-02-13 01:50:43,Au100g,1103.0,AU100G
2026-02-13 01:50:43,Au99.95,0.0,AU9995
2026-02-13 01:50:43,Au99.99,1111.26,AU9999
2026-02-13 01:50:43,Pt99.95,519.5,PT9995
2026-02-13 01:50:46,Ag(T+D),18808.0,AGTD
2026-02-13 01:50:46,Au(T+D),1111.0,AUTD
2026-02-13 01:50:46,Au(T+N1),0.0,AUTN1
2026-02-13 01:50:46,Au(T+N2),0.0,AUTN2
2026-02-13 01:50:46,Au100g,1103.0,AU100G
2026-02-13 01:50:46,Au99.95,0.0,AU9995
2026-02-13 01:50:46,Au99.99,1111.26,AU9999
2026-02-13 01:50:46,Pt99.95,519.5,PT9995
